proveedor,descripcion,costo,ef,estado,motivo
cobeca,ABECAB TAB 5/20MG X30 CAPSUV,10.11,,sin_match,sin_candidato
cobeca,ABINTRA PVO ALIM/GLUTAMINA NJA 27G MEG,8.57,,sin_match,score_bajo
cobeca,ABRETIA CAP 10MG X10 MEG,20,E.F.36.296,matched,score=0.736
cobeca,ABRETIA CAP 18MG X10 MEG,27.01,E.F.36.437,matched,score=0.693
cobeca,ABRETIA CAP 25MG X20 MEG,45.71,E.F.36.438,matched,score=0.736
cobeca,AC FOLICO COMP 5MG X20 MEG,1.43,E.F.G.4.629,matched,score=0.878
cobeca,AC FOLICO TAB 10MG X10 BIOQ,2.65,E.F.G.43.837,matched,score=0.857
cobeca,AC FOLICO TAB 10MG X10 PLX,1.06,E.F.G.36.224,matched,score=0.857
cobeca,AC FOLICO TAB 5MG X10 BIOQ,1.66,E.F.G.43.836,matched,score=0.878
cobeca,AC IBANDRONICO TAB 150MG X1 ZUZU,3.64,E.F.G.43.094,matched,score=0.826
cobeca,AC TRANEXAMICO TAB 500MG X10 KMP,5.17,E.F.G.43.992,matched,score=0.826
cobeca,AC VALPROICO JBE 250MG/5ML 180ML MED/SUP,12.86,E.F.G.44.030,matched,score=0.683
cobeca,AC VALPROICO TAB REC 500MG X30 GEAG,17.94,E.F.23.174,matched,score=0.627
cobeca,ACALIX TAB 60MG X30 VARG,10.26,E.F.23.534,matched,score=0.859
cobeca,ACECLOFENACO TAB DISP 100MG X10 CR MT,2.87,E.F.G.42.665,matched,score=0.769
cobeca,ACEITA MINERAL 30ML RECETT,1.75,,no_farmaco,
cobeca,ACEITE BRONCEADOR HAWAIIAN TROPIC 240ML,12,,no_farmaco,
cobeca,ACEITE CARBONELL EXTRA VIRGEN 750ML,22.04,,no_farmaco,
cobeca,ACEITE CARBONELL PURO SPRAY X 200ML,7.19,,no_farmaco,
cobeca,ACEITE CARBONELL SPR EXT/VIRGEN X 200ML,7.65,,sin_match,score_bajo
cobeca,ACEITE CORP IE ARNICA 250ML,9.52,,no_farmaco,
cobeca,ACEITE CORP IE HIDRAT COCO 400ML,13.01,,no_farmaco,
cobeca,ACEITE COTTAGE DUCHA COCO X 560ML,7.79,,no_farmaco,
cobeca,ACEITE CREMOSO FC ARNICA 250ML,10.39,,no_farmaco,
cobeca,ACEITE D/AGUACATE KALDINI EXT VIRG 250ML,12.24,,no_farmaco,
cobeca,ACEITE D/ALMEN BIOF DULCE 30ML,2.23,,no_farmaco,
cobeca,ACEITE D/ALMEN RECETT AER 70ML,8.96,,sin_match,score_bajo
cobeca,ACEITE D/ALMENDRA ARTEZA 200ML,8.39,,no_farmaco,
cobeca,ACEITE D/ALMENDRA ARTEZA X 100ML,5.06,,no_farmaco,
cobeca,ACEITE D/CASTOR 30ML BIOF,5.34,,no_farmaco,
cobeca,ACEITE D/COCO ARTEZA 200ML,8.39,,no_farmaco,
cobeca,ACEITE D/COCO ARTEZA X 100ML,5.06,,no_farmaco,
cobeca,ACEITE D/COCO BIOF 30ML,3.19,,no_farmaco,
cobeca,ACEITE D/COCO RECETT 30ML,2.06,,no_farmaco,
cobeca,ACEITE D/COCO RECETT 60ML,3.79,,no_farmaco,
cobeca,ACEITE D/COCO RECETT AER 70ML,7.31,,sin_match,score_bajo
cobeca,ACEITE D/DUCHA BIODERMA ATODERM 200ML,36.79,,no_farmaco,
cobeca,ACEITE D/DUCHA COTTAGE ARGAN 560ML,10.1,,no_farmaco,
cobeca,ACEITE D/DUCHA COTTAGE MONOI 560ML,10.07,,no_farmaco,
cobeca,ACEITE D/OLIVA PURO 500ML,14.66,,no_farmaco,
cobeca,ACEITE D/OREGANO GTS 30ML NAT PREM,9.09,,sin_match,score_bajo
cobeca,ACEITE D/PALO 30ML RECETT,4.06,,no_farmaco,
cobeca,ACEITE D/PESCADO CAP BLD 1000MGX30 LINOF,9.96,,sin_match,score_bajo
cobeca,ACEITE D/PESCADO CAP BLD 1000MGX60 LINOF,14.04,,sin_match,score_bajo
cobeca,ACEITE D/RICINO 30ML BIOF,3.99,,no_farmaco,
cobeca,ACEITE D/RICINO 30ML LYA,4.22,,no_farmaco,
cobeca,ACEITE D/RICINO ALPHA BMT GTA 30ML,5.7,,no_farmaco,
cobeca,ACEITE D/RICINO PLUS 30ML CHEM/S,5.52,,no_farmaco,
cobeca,ACEITE D/RICINO RECETT 30ML,4.08,,no_farmaco,
cobeca,ACEITE D/RICINO RECETT AER 70ML,6.57,,sin_match,score_bajo
cobeca,ACEITE D/RICINO REVLON ORGANICO 50ML,16.69,,no_farmaco,
cobeca,ACEITE DE ALMENDRAS RECETTEMARK X30ML,3.77,,no_farmaco,
cobeca,ACEITE DERMISA HIDRAT/CORP 125ML,22.5,,no_farmaco,
cobeca,ACEITE DERNIER CREMOSO BABY 200 G,1.94,,no_farmaco,
cobeca,ACEITE EXTRA VIRGEN 500ML,15.66,,no_farmaco,
cobeca,ACEITE LIMP SUPERF PLEDGE CER 500ML,8.4,,no_farmaco,
cobeca,ACEITE MINERAL 30ML BIOF,2.16,,no_farmaco,
cobeca,ACEITE MINERAL X 100ML,4.13,,no_farmaco,
cobeca,ACEITE MOSQUETA ROSA DEL SUR X 15ML,16.54,,no_farmaco,
cobeca,ACEITE OGX ARGAN OIL MOROCCO 100ML,17.85,,no_farmaco,
cobeca,ACEITE OGX MIST COCONUT OIL 118ML,17.85,,no_farmaco,
cobeca,ACEITE OZONIZ OZONEPIU GIRASOL COCO 30ML,6.79,,no_farmaco,
cobeca,ACEITE OZONIZ OZONEPIU GIRASOL COCO 60ML,13.1,,no_farmaco,
cobeca,ACEMUK COM/EFERV 200MG X 10 MEYER,26.21,,sin_match,sin_candidato
cobeca,ACEMUK JBE 2G/100ML X 100ML,32,,sin_match,sin_candidato
cobeca,ACETAB TAB 250MG X20 L.O,14.37,,sin_match,score_bajo
cobeca,"ACETACLOR JBE 125MG/0,5MG/5ML 120ML BIOF",3.25,,sin_match,score_bajo
cobeca,ACETAFEN FORTE JBE 180MG/5ML 120ML BIOF,3.19,,sin_match,score_bajo
cobeca,ACETAMINOFEN COMP 500MG X10 LETI,2.12,E.F.G.33.539,matched,score=0.922
cobeca,ACETAMINOFEN COMP 650MG X10 BIOQ,2.19,E.F.G.43.639,matched,score=0.957
cobeca,ACETAMINOFEN COMP 650MG X10 LETI,1.63,E.F.G.43.639,matched,score=0.957
cobeca,ACETAMINOFEN COMP 650MG X20 BIOQ,3.14,E.F.G.43.639,matched,score=0.957
cobeca,ACETAMINOFEN COMP 650MG X30 LETI,4.86,E.F.G.43.639,matched,score=0.957
cobeca,ACETAMINOFEN COMP 750MG X10 BIOQ,3.88,E.F.G.43.639,matched,score=0.830
cobeca,ACETAMINOFEN JBE PED 150MG/120ML PHARME,4.66,E.F.G.43.707,matched,score=0.687
cobeca,ACETAMINOFEN SOL 120MG/5ML 100ML BIOQ,4.44,E.F.G.40.083,matched,score=0.859
cobeca,ACETAMINOFEN SOL 120MG/5ML 120ML BIOQ,4.86,E.F.G.40.083,matched,score=0.878
cobeca,ACETAMINOFEN SOL 180MG/5ML 120ML BIOQ,4.7,E.F.G.40.084,matched,score=0.826
cobeca,ACETAMINOFEN SOL 180MG/5ML 120ML LETI,4.53,E.F.G.42.488,matched,score=0.870
cobeca,ACETAMINOFEN SOL ORAL 120MG/5ML X60ML OF,2.18,E.F.G.40.083,matched,score=0.792
cobeca,ACETAMINOFEN SUP 125MG X 6 ALESS,2.51,,no_farmaco,
cobeca,ACETAMINOFEN SUP 125MG X8 VARG,3.38,,no_farmaco,
cobeca,ACETAMINOFEN SUP 250MG X 6 ALESS,2.92,,no_farmaco,
cobeca,ACETAMINOFEN TAB 500MG X 10 OFT,0.83,E.F.G.25.466,matched,score=0.786
cobeca,ACETAMINOFEN TAB 500MG X 30 OFT,2.81,E.F.G.25.466,matched,score=0.786
cobeca,ACETAMINOFEN TAB 500MG X10 CLX,0.43,E.F.G.31.234,matched,score=0.922
cobeca,ACETAMINOFEN TAB 500MG X10 KMP,0.82,E.F.G.23.275,matched,score=0.878
cobeca,ACETAMINOFEN TAB 500MG X12 BIOQ,1.55,E.F.G.23.275,matched,score=0.878
cobeca,ACETAMINOFEN TAB 500MG X20 ALESS,1.06,E.F.G.37.101,matched,score=0.820
cobeca,ACETAMINOFEN TAB 500MG X20 PHARME,1.23,E.F.G.37.095,matched,score=0.906
cobeca,ACETAMINOFEN TAB 500MG X24 BIOQ,3.16,E.F.G.23.275,matched,score=0.878
